yourlist:M20190701216DA2B77BFBD2E6699CA9B6D1C41EB22597F0Y	Entry	Entry name	Status	Protein names	Gene names	Organism	Gene names  (primary )	Gene names  (synonym )
Q504Y2	Q504Y2	PKDCC_HUMAN	reviewed	Extracellular tyrosine-protein kinase PKDCC (EC 2.7.10.2) (Protein kinase domain-containing protein, cytoplasmic) (Protein kinase-like protein SgK493) (Sugen kinase 493) (Vertebrate lonesome kinase)	PKDCC SGK493 VLK	Homo sapiens (Human)	PKDCC	SGK493 VLK
Q96Q40	Q96Q40	CDK15_HUMAN	reviewed	Cyclin-dependent kinase 15 (EC 2.7.11.22) (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 7 protein) (Cell division protein kinase 15) (Serine/threonine-protein kinase ALS2CR7) (Serine/threonine-protein kinase PFTAIRE-2)	CDK15 ALS2CR7 PFTK2	Homo sapiens (Human)	CDK15	ALS2CR7 PFTK2
Q9BYT3	Q9BYT3	STK33_HUMAN	reviewed	Serine/threonine-protein kinase 33 (EC 2.7.11.1)	STK33	Homo sapiens (Human)	STK33	
Q96S44	Q96S44	PRPK_HUMAN	reviewed	EKC/KEOPS complex subunit TP53RK (EC 3.6.-.-) (Atypical serine/threonine protein kinase TP53RK) (Nori-2) (TP53-regulating kinase) (EC 2.7.11.1) (p53-related protein kinase)	TP53RK C20orf64 PRPK	Homo sapiens (Human)	TP53RK	C20orf64 PRPK
Q8TD08	Q8TD08	MK15_HUMAN	reviewed	Mitogen-activated protein kinase 15 (MAP kinase 15) (MAPK 15) (EC 2.7.11.24) (Extracellular signal-regulated kinase 7) (ERK-7) (Extracellular signal-regulated kinase 8) (ERK-8)	MAPK15 ERK7 ERK8	Homo sapiens (Human)	MAPK15	ERK7 ERK8
Q5MAI5	Q5MAI5	CDKL4_HUMAN	reviewed	Cyclin-dependent kinase-like 4 (EC 2.7.11.22)	CDKL4	Homo sapiens (Human)	CDKL4	
Q8IZE3	Q8IZE3	PACE1_HUMAN	reviewed	Protein-associating with the carboxyl-terminal domain of ezrin (Ezrin-binding protein PACE-1) (SCY1-like protein 3)	SCYL3 PACE1	Homo sapiens (Human)	SCYL3	PACE1
Q86UX6	Q86UX6	ST32C_HUMAN	reviewed	Serine/threonine-protein kinase 32C (EC 2.7.11.1) (PKE) (Yet another novel kinase 3)	STK32C YANK3	Homo sapiens (Human)	STK32C	YANK3
Q8TD19	Q8TD19	NEK9_HUMAN	reviewed	Serine/threonine-protein kinase Nek9 (EC 2.7.11.1) (Nercc1 kinase) (Never in mitosis A-related kinase 9) (NimA-related protein kinase 9) (NimA-related kinase 8) (Nek8)	NEK9 KIAA1995 NEK8 NERCC	Homo sapiens (Human)	NEK9	KIAA1995 NEK8 NERCC
Q96PN8	Q96PN8	TSSK3_HUMAN	reviewed	Testis-specific serine/threonine-protein kinase 3 (TSK-3) (TSSK-3) (Testis-specific kinase 3) (EC 2.7.11.1) (Serine/threonine-protein kinase 22C)	TSSK3 SPOGA3 STK22C	Homo sapiens (Human)	TSSK3	SPOGA3 STK22C
Q9H093	Q9H093	NUAK2_HUMAN	reviewed	NUAK family SNF1-like kinase 2 (EC 2.7.11.1) (Omphalocele kinase 2) (SNF1/AMP kinase-related kinase) (SNARK)	NUAK2 OMPHK2 SNARK	Homo sapiens (Human)	NUAK2	OMPHK2 SNARK
Q9Y6S9	Q9Y6S9	RPKL1_HUMAN	reviewed	Ribosomal protein S6 kinase-like 1 (EC 2.7.11.1)	RPS6KL1	Homo sapiens (Human)	RPS6KL1	
Q96PF2	Q96PF2	TSSK2_HUMAN	reviewed	Testis-specific serine/threonine-protein kinase 2 (TSK-2) (TSK2) (TSSK-2) (Testis-specific kinase 2) (EC 2.7.11.1) (DiGeorge syndrome protein G) (DGS-G) (Serine/threonine-protein kinase 22B)	TSSK2 DGSG SPOGA2 STK22B	Homo sapiens (Human)	TSSK2	DGSG SPOGA2 STK22B
Q6P3W7	Q6P3W7	SCYL2_HUMAN	reviewed	SCY1-like protein 2 (Coated vesicle-associated kinase of 104 kDa)	SCYL2 CVAK104 KIAA1360	Homo sapiens (Human)	SCYL2	CVAK104 KIAA1360
Q86SG6	Q86SG6	NEK8_HUMAN	reviewed	Serine/threonine-protein kinase Nek8 (EC 2.7.11.1) (Never in mitosis A-related kinase 8) (NimA-related protein kinase 8) (Nima-related protein kinase 12a)	NEK8 JCK NEK12A	Homo sapiens (Human)	NEK8	JCK NEK12A
P35626	P35626	ARBK2_HUMAN	reviewed	Beta-adrenergic receptor kinase 2 (Beta-ARK-2) (EC 2.7.11.15) (G-protein-coupled receptor kinase 3)	GRK3 ADRBK2 BARK2	Homo sapiens (Human)	GRK3	ADRBK2 BARK2
Q9UHY1	Q9UHY1	NRBP_HUMAN	reviewed	Nuclear receptor-binding protein	NRBP1 BCON3 NRBP	Homo sapiens (Human)	NRBP1	BCON3 NRBP
Q9BZL6	Q9BZL6	KPCD2_HUMAN	reviewed	Serine/threonine-protein kinase D2 (EC 2.7.11.13) (nPKC-D2)	PRKD2 PKD2 HSPC187	Homo sapiens (Human)	PRKD2	PKD2
Q9NY57	Q9NY57	ST32B_HUMAN	reviewed	Serine/threonine-protein kinase 32B (EC 2.7.11.1) (Yet another novel kinase 2)	STK32B YANK2 UNQ3003/PRO9744	Homo sapiens (Human)	STK32B	YANK2
Q96RR4	Q96RR4	KKCC2_HUMAN	reviewed	Calcium/calmodulin-dependent protein kinase kinase 2 (CaM-KK 2) (CaM-kinase kinase 2) (CaMKK 2) (EC 2.7.11.17) (Calcium/calmodulin-dependent protein kinase kinase beta) (CaM-KK beta) (CaM-kinase kinase beta) (CaMKK beta)	CAMKK2 CAMKKB KIAA0787	Homo sapiens (Human)	CAMKK2	CAMKKB KIAA0787
Q8IZL9	Q8IZL9	CDK20_HUMAN	reviewed	Cyclin-dependent kinase 20 (EC 2.7.11.22) (CDK-activating kinase p42) (CAK-kinase p42) (Cell cycle-related kinase) (Cell division protein kinase 20) (Cyclin-dependent protein kinase H) (Cyclin-kinase-activating kinase p42)	CDK20 CCRK CDCH	Homo sapiens (Human)	CDK20	CCRK CDCH
Q9HAZ1	Q9HAZ1	CLK4_HUMAN	reviewed	Dual specificity protein kinase CLK4 (EC 2.7.12.1) (CDC-like kinase 4)	CLK4	Homo sapiens (Human)	CLK4	
Q9NYV4	Q9NYV4	CDK12_HUMAN	reviewed	Cyclin-dependent kinase 12 (EC 2.7.11.22) (EC 2.7.11.23) (Cdc2-related kinase, arginine/serine-rich) (CrkRS) (Cell division cycle 2-related protein kinase 7) (CDC2-related protein kinase 7) (Cell division protein kinase 12) (hCDK12)	CDK12 CRK7 CRKRS KIAA0904	Homo sapiens (Human)	CDK12	CRK7 CRKRS KIAA0904
Q9UEE5	Q9UEE5	ST17A_HUMAN	reviewed	Serine/threonine-protein kinase 17A (EC 2.7.11.1) (DAP kinase-related apoptosis-inducing protein kinase 1)	STK17A DRAK1	Homo sapiens (Human)	STK17A	DRAK1
O94768	O94768	ST17B_HUMAN	reviewed	Serine/threonine-protein kinase 17B (EC 2.7.11.1) (DAP kinase-related apoptosis-inducing protein kinase 2)	STK17B DRAK2	Homo sapiens (Human)	STK17B	DRAK2
O43781	O43781	DYRK3_HUMAN	reviewed	Dual specificity tyrosine-phosphorylation-regulated kinase 3 (EC 2.7.12.1) (Regulatory erythroid kinase) (REDK)	DYRK3	Homo sapiens (Human)	DYRK3	
O94806	O94806	KPCD3_HUMAN	reviewed	Serine/threonine-protein kinase D3 (EC 2.7.11.13) (Protein kinase C nu type) (Protein kinase EPK2) (nPKC-nu)	PRKD3 EPK2 PRKCN	Homo sapiens (Human)	PRKD3	EPK2 PRKCN
Q9P2K8	Q9P2K8	E2AK4_HUMAN	reviewed	eIF-2-alpha kinase GCN2 (EC 2.7.11.1) (Eukaryotic translation initiation factor 2-alpha kinase 4) (GCN2-like protein)	EIF2AK4 GCN2 KIAA1338	Homo sapiens (Human)	EIF2AK4	GCN2 KIAA1338
Q96LW2	Q96LW2	KS6R_HUMAN	reviewed	Ribosomal protein S6 kinase-related protein (EC 2.7.11.1) (Sugen kinase 494)	RSKR SGK494	Homo sapiens (Human)	RSKR	SGK494
Q8N2I9	Q8N2I9	STK40_HUMAN	reviewed	Serine/threonine-protein kinase 40 (EC 2.7.11.1) (SINK-homologous serine/threonine-protein kinase) (Sugen kinase 495) (SgK495)	STK40 SGK495 SHIK	Homo sapiens (Human)	STK40	SGK495 SHIK
Q8TDR2	Q8TDR2	STK35_HUMAN	reviewed	Serine/threonine-protein kinase 35 (EC 2.7.11.1) (CLP-36-interacting kinase 1) (CLIK-1) (PDLIM1-interacting kinase 1) (Serine/threonine-protein kinase 35 L1)	STK35 CLIK1 PDIK1 STK35L1	Homo sapiens (Human)	STK35	CLIK1 PDIK1 STK35L1
Q59H18	Q59H18	TNI3K_HUMAN	reviewed	Serine/threonine-protein kinase TNNI3K (EC 2.7.11.1) (Cardiac ankyrin repeat kinase) (Cardiac troponin I-interacting kinase) (TNNI3-interacting kinase)	TNNI3K CARK	Homo sapiens (Human)	TNNI3K	CARK
Q9H2X6	Q9H2X6	HIPK2_HUMAN	reviewed	Homeodomain-interacting protein kinase 2 (hHIPk2) (EC 2.7.11.1)	HIPK2	Homo sapiens (Human)	HIPK2	
Q9BQI3	Q9BQI3	E2AK1_HUMAN	reviewed	Eukaryotic translation initiation factor 2-alpha kinase 1 (EC 2.7.11.1) (Heme-controlled repressor) (HCR) (Heme-regulated eukaryotic initiation factor eIF-2-alpha kinase) (Heme-regulated inhibitor) (Hemin-sensitive initiation factor 2-alpha kinase)	EIF2AK1 HRI KIAA1369 PRO1362	Homo sapiens (Human)	EIF2AK1	HRI KIAA1369
Q9UPZ9	Q9UPZ9	ICK_HUMAN	reviewed	Serine/threonine-protein kinase ICK (EC 2.7.11.1) (Intestinal cell kinase) (hICK) (Laryngeal cancer kinase 2) (LCK2) (MAK-related kinase) (MRK)	ICK KIAA0936	Homo sapiens (Human)	ICK	KIAA0936
Q76MJ5	Q76MJ5	ERN2_HUMAN	reviewed	Serine/threonine-protein kinase/endoribonuclease IRE2 (Endoplasmic reticulum-to-nucleus signaling 2) (Inositol-requiring protein 2) (hIRE2p) (Ire1-beta) (IRE1b) [Includes: Serine/threonine-protein kinase (EC 2.7.11.1); Endoribonuclease (EC 3.1.26.-)]	ERN2 IRE2	Homo sapiens (Human)	ERN2	IRE2
Q96RG2	Q96RG2	PASK_HUMAN	reviewed	PAS domain-containing serine/threonine-protein kinase (PAS-kinase) (PASKIN) (hPASK) (EC 2.7.11.1)	PASK KIAA0135	Homo sapiens (Human)	PASK	KIAA0135
Q9Y2H1	Q9Y2H1	ST38L_HUMAN	reviewed	Serine/threonine-protein kinase 38-like (EC 2.7.11.1) (NDR2 protein kinase) (Nuclear Dbf2-related kinase 2)	STK38L KIAA0965 NDR2	Homo sapiens (Human)	STK38L	KIAA0965 NDR2
Q9Y2K2	Q9Y2K2	SIK3_HUMAN	reviewed	Serine/threonine-protein kinase SIK3 (EC 2.7.11.1) (Salt-inducible kinase 3) (SIK-3) (Serine/threonine-protein kinase QSK)	SIK3 KIAA0999 QSK L19	Homo sapiens (Human)	SIK3	KIAA0999 QSK
P57058	P57058	HUNK_HUMAN	reviewed	Hormonally up-regulated neu tumor-associated kinase (EC 2.7.11.1) (B19) (Serine/threonine-protein kinase MAK-V)	HUNK MAKV	Homo sapiens (Human)	HUNK	MAKV
O95382	O95382	M3K6_HUMAN	reviewed	Mitogen-activated protein kinase kinase kinase 6 (EC 2.7.11.25) (Apoptosis signal-regulating kinase 2)	MAP3K6 ASK2 MAPKKK6 MEKK6	Homo sapiens (Human)	MAP3K6	ASK2 MAPKKK6 MEKK6
Q9NYL2	Q9NYL2	M3K20_HUMAN	reviewed	Mitogen-activated protein kinase kinase kinase 20 (EC 2.7.11.25) (Human cervical cancer suppressor gene 4 protein) (HCCS-4) (Leucine zipper- and sterile alpha motif-containing kinase) (MLK-like mitogen-activated protein triple kinase) (Mitogen-activated protein kinase kinase kinase MLT) (Mixed lineage kinase-related kinase) (MLK-related kinase) (MRK) (Sterile alpha motif- and leucine zipper-containing kinase AZK)	MAP3K20 MLTK ZAK HCCS4	Homo sapiens (Human)	MAP3K20	MLTK ZAK
Q9UQ07	Q9UQ07	MOK_HUMAN	reviewed	MAPK/MAK/MRK overlapping kinase (EC 2.7.11.22) (MOK protein kinase) (Renal tumor antigen 1) (RAGE-1)	MOK RAGE RAGE1	Homo sapiens (Human)	MOK	RAGE RAGE1
O75716	O75716	STK16_HUMAN	reviewed	Serine/threonine-protein kinase 16 (EC 2.7.11.1) (Myristoylated and palmitoylated serine/threonine-protein kinase) (MPSK) (Protein kinase PKL12) (TGF-beta-stimulated factor 1) (TSF-1) (Tyrosine-protein kinase STK16) (EC 2.7.10.2) (hPSK)	STK16 MPSK1 PKL12 TSF1	Homo sapiens (Human)	STK16	MPSK1 PKL12 TSF1
Q9UPE1	Q9UPE1	SRPK3_HUMAN	reviewed	SRSF protein kinase 3 (EC 2.7.11.1) (Muscle-specific serine kinase 1) (MSSK-1) (Serine/arginine-rich protein-specific kinase 3) (SR-protein-specific kinase 3) (Serine/threonine-protein kinase 23)	SRPK3 MSSK1 STK23	Homo sapiens (Human)	SRPK3	MSSK1 STK23
Q9H4A3	Q9H4A3	WNK1_HUMAN	reviewed	Serine/threonine-protein kinase WNK1 (EC 2.7.11.1) (Erythrocyte 65 kDa protein) (p65) (Kinase deficient protein) (Protein kinase lysine-deficient 1) (Protein kinase with no lysine 1) (hWNK1)	WNK1 HSN2 KDP KIAA0344 PRKWNK1	Homo sapiens (Human)	WNK1	HSN2 KDP KIAA0344 PRKWNK1
Q8IVW4	Q8IVW4	CDKL3_HUMAN	reviewed	Cyclin-dependent kinase-like 3 (EC 2.7.11.22) (Serine/threonine-protein kinase NKIAMRE)	CDKL3 NKIAMRE	Homo sapiens (Human)	CDKL3	NKIAMRE
Q9P286	Q9P286	PAK5_HUMAN	reviewed	Serine/threonine-protein kinase PAK 5 (EC 2.7.11.1) (p21-activated kinase 5) (PAK-5) (p21-activated kinase 7) (PAK-7)	PAK5 KIAA1264 PAK7	Homo sapiens (Human)	PAK5	KIAA1264 PAK7
Q6P5Z2	Q6P5Z2	PKN3_HUMAN	reviewed	Serine/threonine-protein kinase N3 (EC 2.7.11.13) (Protein kinase PKN-beta) (Protein-kinase C-related kinase 3)	PKN3 PKNBETA	Homo sapiens (Human)	PKN3	PKNBETA
Q9H0K1	Q9H0K1	SIK2_HUMAN	reviewed	Serine/threonine-protein kinase SIK2 (EC 2.7.11.1) (Qin-induced kinase) (Salt-inducible kinase 2) (SIK-2) (Serine/threonine-protein kinase SNF1-like kinase 2)	SIK2 KIAA0781 QIK SNF1LK2	Homo sapiens (Human)	SIK2	KIAA0781 QIK SNF1LK2
Q96L34	Q96L34	MARK4_HUMAN	reviewed	MAP/microtubule affinity-regulating kinase 4 (EC 2.7.11.1) (MAP/microtubule affinity-regulating kinase-like 1)	MARK4 KIAA1860 MARKL1	Homo sapiens (Human)	MARK4	KIAA1860 MARKL1
Q6XUX3	Q6XUX3	DUSTY_HUMAN	reviewed	Dual serine/threonine and tyrosine protein kinase (EC 2.7.12.1) (Dusty protein kinase) (Dusty PK) (RIP-homologous kinase) (Receptor-interacting serine/threonine-protein kinase 5) (Sugen kinase 496) (SgK496)	DSTYK KIAA0472 RIP5 RIPK5 SGK496 HDCMD38P	Homo sapiens (Human)	DSTYK	KIAA0472 RIP5 RIPK5 SGK496
Q96S38	Q96S38	KS6C1_HUMAN	reviewed	Ribosomal protein S6 kinase delta-1 (S6K-delta-1) (EC 2.7.11.1) (52 kDa ribosomal protein S6 kinase) (Ribosomal S6 kinase-like protein with two PSK domains 118 kDa protein) (SPHK1-binding protein)	RPS6KC1 RPK118	Homo sapiens (Human)	RPS6KC1	RPK118
Q9UK32	Q9UK32	KS6A6_HUMAN	reviewed	Ribosomal protein S6 kinase alpha-6 (S6K-alpha-6) (EC 2.7.11.1) (90 kDa ribosomal protein S6 kinase 6) (p90-RSK 6) (p90RSK6) (Ribosomal S6 kinase 4) (RSK-4) (pp90RSK4)	RPS6KA6 RSK4	Homo sapiens (Human)	RPS6KA6	RSK4
Q9NSY0	Q9NSY0	NRBP2_HUMAN	reviewed	Nuclear receptor-binding protein 2 (Transformation-related gene 16 protein) (TRG-16)	NRBP2 PP9320 TRG16	Homo sapiens (Human)	NRBP2	
Q8NE28	Q8NE28	STKL1_HUMAN	reviewed	Serine/threonine kinase-like domain-containing protein STKLD1 (Serine/threonine kinase-like domain-containing protein 1) (Sugen kinase 071)	STKLD1 C9orf96 SGK071	Homo sapiens (Human)	STKLD1	C9orf96 SGK071
Q9HBY8	Q9HBY8	SGK2_HUMAN	reviewed	Serine/threonine-protein kinase Sgk2 (EC 2.7.11.1) (Serum/glucocorticoid-regulated kinase 2)	SGK2	Homo sapiens (Human)	SGK2	
Q9BXA6	Q9BXA6	TSSK6_HUMAN	reviewed	Testis-specific serine/threonine-protein kinase 6 (TSK-6) (TSSK-6) (Testis-specific kinase 6) (EC 2.7.11.1) (Cancer/testis antigen 72) (CT72) (Serine/threonine-protein kinase SSTK) (Small serine/threonine kinase)	TSSK6 SSTK FKSG82	Homo sapiens (Human)	TSSK6	SSTK
Q96BR1	Q96BR1	SGK3_HUMAN	reviewed	Serine/threonine-protein kinase Sgk3 (EC 2.7.11.1) (Cytokine-independent survival kinase) (Serum/glucocorticoid-regulated kinase 3) (Serum/glucocorticoid-regulated kinase-like)	SGK3 CISK SGKL	Homo sapiens (Human)	SGK3	CISK SGKL
Q5TCY1	Q5TCY1	TTBK1_HUMAN	reviewed	Tau-tubulin kinase 1 (EC 2.7.11.1) (Brain-derived tau kinase)	TTBK1 BDTK KIAA1855	Homo sapiens (Human)	TTBK1	BDTK KIAA1855
Q8N568	Q8N568	DCLK2_HUMAN	reviewed	Serine/threonine-protein kinase DCLK2 (EC 2.7.11.1) (CaMK-like CREB regulatory kinase 2) (CL2) (CLICK-II) (CLICK2) (Doublecortin domain-containing protein 3B) (Doublecortin-like and CAM kinase-like 2) (Doublecortin-like kinase 2)	DCLK2 DCAMKL2 DCDC3B DCK2	Homo sapiens (Human)	DCLK2	DCAMKL2 DCDC3B DCK2
Q7Z7A4	Q7Z7A4	PXK_HUMAN	reviewed	PX domain-containing protein kinase-like protein (Modulator of Na,K-ATPase) (MONaKA)	PXK	Homo sapiens (Human)	PXK	
Q96KB5	Q96KB5	TOPK_HUMAN	reviewed	Lymphokine-activated killer T-cell-originated protein kinase (EC 2.7.12.2) (Cancer/testis antigen 84) (CT84) (MAPKK-like protein kinase) (Nori-3) (PDZ-binding kinase) (Spermatogenesis-related protein kinase) (SPK) (T-LAK cell-originated protein kinase)	PBK TOPK	Homo sapiens (Human)	PBK	TOPK
Q6J9G0	Q6J9G0	STYK1_HUMAN	reviewed	Tyrosine-protein kinase STYK1 (EC 2.7.10.2) (Novel oncogene with kinase domain) (Protein PK-unique) (Serine/threonine/tyrosine kinase 1)	STYK1 NOK	Homo sapiens (Human)	STYK1	NOK
Q9UHD2	Q9UHD2	TBK1_HUMAN	reviewed	Serine/threonine-protein kinase TBK1 (EC 2.7.11.1) (NF-kappa-B-activating kinase) (T2K) (TANK-binding kinase 1)	TBK1 NAK	Homo sapiens (Human)	TBK1	NAK
Q96S53	Q96S53	TESK2_HUMAN	reviewed	Dual specificity testis-specific protein kinase 2 (EC 2.7.12.1) (Testicular protein kinase 2)	TESK2	Homo sapiens (Human)	TESK2	
O60229	O60229	KALRN_HUMAN	reviewed	Kalirin (EC 2.7.11.1) (Huntingtin-associated protein-interacting protein) (Protein Duo) (Serine/threonine-protein kinase with Dbl- and pleckstrin homology domain)	KALRN DUET DUO HAPIP TRAD	Homo sapiens (Human)	KALRN	DUET DUO HAPIP TRAD
Q6SA08	Q6SA08	TSSK4_HUMAN	reviewed	Testis-specific serine/threonine-protein kinase 4 (TSK-4) (TSSK-4) (Testis-specific kinase 4) (EC 2.7.11.1) (Serine/threonine-protein kinase 22E)	TSSK4 C14orf20 STK22E TSSK5	Homo sapiens (Human)	TSSK4	C14orf20 STK22E TSSK5
Q8IV63	Q8IV63	VRK3_HUMAN	reviewed	Inactive serine/threonine-protein kinase VRK3 (Serine/threonine-protein pseudokinase VRK3) (Vaccinia-related kinase 3)	VRK3	Homo sapiens (Human)	VRK3	
Q32MK0	Q32MK0	MYLK3_HUMAN	reviewed	Myosin light chain kinase 3 (EC 2.7.11.18) (Cardiac-MyBP-C-associated Ca/CaM kinase) (Cardiac-MLCK)	MYLK3 MLCK	Homo sapiens (Human)	MYLK3	MLCK
Q15772	Q15772	SPEG_HUMAN	reviewed	Striated muscle preferentially expressed protein kinase (EC 2.7.11.1) (Aortic preferentially expressed protein 1) (APEG-1)	SPEG APEG1 KIAA1297	Homo sapiens (Human)	SPEG	APEG1 KIAA1297
Q8N752	Q8N752	KC1AL_HUMAN	reviewed	Casein kinase I isoform alpha-like (CKI-alpha-like) (EC 2.7.11.1) (CK1)	CSNK1A1L	Homo sapiens (Human)	CSNK1A1L	
P57078	P57078	RIPK4_HUMAN	reviewed	Receptor-interacting serine/threonine-protein kinase 4 (EC 2.7.11.1) (Ankyrin repeat domain-containing protein 3) (PKC-delta-interacting protein kinase)	RIPK4 ANKRD3 DIK	Homo sapiens (Human)	RIPK4	ANKRD3 DIK
Q6P3R8	Q6P3R8	NEK5_HUMAN	reviewed	Serine/threonine-protein kinase Nek5 (EC 2.7.11.1) (Never in mitosis A-related kinase 5) (NimA-related protein kinase 5)	NEK5	Homo sapiens (Human)	NEK5	
Q8IU85	Q8IU85	KCC1D_HUMAN	reviewed	Calcium/calmodulin-dependent protein kinase type 1D (EC 2.7.11.17) (CaM kinase I delta) (CaM kinase ID) (CaM-KI delta) (CaMKI delta) (CaMKID) (CaMKI-like protein kinase) (CKLiK)	CAMK1D CAMKID	Homo sapiens (Human)	CAMK1D	CAMKID
Q56UN5	Q56UN5	M3K19_HUMAN	reviewed	Mitogen-activated protein kinase kinase kinase 19 (EC 2.7.11.1) (Regulated in COPD, protein kinase) (SPS1/STE20-related protein kinase YSK4)	MAP3K19 RCK YSK4	Homo sapiens (Human)	MAP3K19	RCK YSK4
Q8NG66	Q8NG66	NEK11_HUMAN	reviewed	Serine/threonine-protein kinase Nek11 (EC 2.7.11.1) (Never in mitosis A-related kinase 11) (NimA-related protein kinase 11)	NEK11	Homo sapiens (Human)	NEK11	
Q8WTQ7	Q8WTQ7	GRK7_HUMAN	reviewed	Rhodopsin kinase (EC 2.7.11.14) (G protein-coupled receptor kinase 7) (G protein-coupled receptor kinase GRK7)	GRK7 GPRK7	Homo sapiens (Human)	GRK7	GPRK7
P0C263	P0C263	SBK2_HUMAN	reviewed	Serine/threonine-protein kinase SBK2 (EC 2.7.11.1) (SH3-binding domain kinase family member 2) (Sugen kinase 69) (SgK069)	SBK2 SGK069	Homo sapiens (Human)	SBK2	SGK069
Q8NE63	Q8NE63	HIPK4_HUMAN	reviewed	Homeodomain-interacting protein kinase 4 (EC 2.7.11.1)	HIPK4	Homo sapiens (Human)	HIPK4	
Q8WXR4	Q8WXR4	MYO3B_HUMAN	reviewed	Myosin-IIIb (EC 2.7.11.1)	MYO3B	Homo sapiens (Human)	MYO3B	
Q96J92	Q96J92	WNK4_HUMAN	reviewed	Serine/threonine-protein kinase WNK4 (EC 2.7.11.1) (Protein kinase lysine-deficient 4) (Protein kinase with no lysine 4)	WNK4 PRKWNK4	Homo sapiens (Human)	WNK4	PRKWNK4
P0C264	P0C264	SBK3_HUMAN	reviewed	Uncharacterized serine/threonine-protein kinase SBK3 (EC 2.7.11.1) (SH3-binding domain kinase family member 3) (Sugen kinase 110)	SBK3 SGK110	Homo sapiens (Human)	SBK3	SGK110
Q8TDC3	Q8TDC3	BRSK1_HUMAN	reviewed	Serine/threonine-protein kinase BRSK1 (EC 2.7.11.1) (Brain-selective kinase 1) (EC 2.7.11.26) (Brain-specific serine/threonine-protein kinase 1) (BR serine/threonine-protein kinase 1) (Serine/threonine-protein kinase SAD-B) (Synapses of Amphids Defective homolog 1) (SAD1 homolog) (hSAD1)	BRSK1 KIAA1811 SAD1 SADB	Homo sapiens (Human)	BRSK1	KIAA1811 SAD1 SADB
Q5VST9	Q5VST9	OBSCN_HUMAN	reviewed	Obscurin (EC 2.7.11.1) (Obscurin-RhoGEF) (Obscurin-myosin light chain kinase) (Obscurin-MLCK)	OBSCN KIAA1556 KIAA1639	Homo sapiens (Human)	OBSCN	KIAA1556 KIAA1639
Q96QS6	Q96QS6	KPSH2_HUMAN	reviewed	Serine/threonine-protein kinase H2 (EC 2.7.11.1) (Protein serine kinase H2) (PSK-H2)	PSKH2	Homo sapiens (Human)	PSKH2	
P57059	P57059	SIK1_HUMAN	reviewed	Serine/threonine-protein kinase SIK1 (EC 2.7.11.1) (Salt-inducible kinase 1) (SIK-1) (Serine/threonine-protein kinase SNF1-like kinase 1) (Serine/threonine-protein kinase SNF1LK)	SIK1 SIK SNF1LK	Homo sapiens (Human)	SIK1	SIK SNF1LK
Q6VAB6	Q6VAB6	KSR2_HUMAN	reviewed	Kinase suppressor of Ras 2 (hKSR2) (EC 2.7.11.1)	KSR2	Homo sapiens (Human)	KSR2	
O14730	O14730	RIOK3_HUMAN	reviewed	Serine/threonine-protein kinase RIO3 (EC 2.7.11.1) (RIO kinase 3) (sudD homolog)	RIOK3 SUDD	Homo sapiens (Human)	RIOK3	SUDD
Q8NI60	Q8NI60	COQ8A_HUMAN	reviewed	Atypical kinase COQ8A, mitochondrial (EC 2.7.-.-) (Chaperone activity of bc1 complex-like) (Chaperone-ABC1-like) (Coenzyme Q protein 8A) (aarF domain-containing protein kinase 3)	COQ8A ADCK3 CABC1 PP265	Homo sapiens (Human)	COQ8A	ADCK3 CABC1
Q9BRS2	Q9BRS2	RIOK1_HUMAN	reviewed	Serine/threonine-protein kinase RIO1 (EC 2.7.11.1) (EC 3.6.3.-) (RIO kinase 1)	RIOK1 RIO1	Homo sapiens (Human)	RIOK1	RIO1
Q8WU08	Q8WU08	ST32A_HUMAN	reviewed	Serine/threonine-protein kinase 32A (EC 2.7.11.1) (Yet another novel kinase 1)	STK32A YANK1	Homo sapiens (Human)	STK32A	YANK1
Q9NRH2	Q9NRH2	SNRK_HUMAN	reviewed	SNF-related serine/threonine-protein kinase (EC 2.7.11.1) (SNF1-related kinase)	SNRK KIAA0096 SNFRK	Homo sapiens (Human)	SNRK	KIAA0096 SNFRK
Q5JZY3	Q5JZY3	EPHAA_HUMAN	reviewed	Ephrin type-A receptor 10 (EC 2.7.10.1)	EPHA10	Homo sapiens (Human)	EPHA10	
Q9H5K3	Q9H5K3	SG196_HUMAN	reviewed	Protein O-mannose kinase (POMK) (EC 2.7.1.183) (Protein kinase-like protein SgK196) (Sugen kinase 196)	POMK SGK196	Homo sapiens (Human)	POMK	SGK196
Q8NEV4	Q8NEV4	MYO3A_HUMAN	reviewed	Myosin-IIIa (EC 2.7.11.1)	MYO3A	Homo sapiens (Human)	MYO3A	
Q9BYP7	Q9BYP7	WNK3_HUMAN	reviewed	Serine/threonine-protein kinase WNK3 (EC 2.7.11.1) (Protein kinase lysine-deficient 3) (Protein kinase with no lysine 3)	WNK3 KIAA1566 PRKWNK3	Homo sapiens (Human)	WNK3	KIAA1566 PRKWNK3
Q86YV5	Q86YV5	PRAG1_HUMAN	reviewed	Inactive tyrosine-protein kinase PRAG1 (PEAK1-related kinase-activating pseudokinase 1) (Pragmin) (Sugen kinase 223) (SgK223)	PRAG1 SGK223	Homo sapiens (Human)	PRAG1	SGK223
